Id,Sales
1,4013.1646
2,7501.151
3,9096.762
4,7755.7954
5,7063.2524
6,5702.064
7,7365.749
8,7953.8784
9,5218.5493
10,5705.3066
11,6836.9033
12,7729.5127
13,7347.5684
14,8818.847
15,5556.9355
16,4741.62
17,5444.131
18,9098.948
19,10284.202
20,10019.985
21,7320.329
22,4511.898
23,5664.9727
24,4102.644
25,7391.119
26,11069.587
27,9192.169
28,5637.966
29,4989.1562
30,4363.371
31,5793.554
32,10243.234
33,6537.477
34,5420.296
35,5223.943
36,7971.2173
37,3580.3071
38,7364.0137
39,4376.9443
40,7152.5796
41,7017.1143
42,5408.954
43,8178.1626
44,6862.789
45,4883.8677
46,6553.2656
47,7581.285
48,11741.206
49,5805.3643
50,7911.8027
51,6973.691
52,8558.027
53,6269.6133
54,9218.376
55,4795.333
56,4904.8994
57,6013.7217
58,5894.091
59,8965.68
60,7725.319
61,5611.5747
62,7511.1094
63,6598.6895
64,10162.593
65,3957.1428
66,12542.338
67,4867.59
68,6038.201
69,8357.916
70,4688.4683
71,6511.843
72,6248.903
73,7302.7554
74,5762.3164
75,5582.2603
76,7379.919
77,7674.6367
78,6977.1704
79,4835.367
80,7060.3564
81,11178.601
82,6437.114
83,4412.9097
84,6512.862
85,5947.737
86,5609.172
87,7474.6895
88,3885.5898
89,8030.2964
90,5878.2974
91,6918.641
92,6965.0557
93,4074.6445
94,5896.059
95,5120.568
96,7923.8857
97,7686.2036
98,5084.139
99,4883.155
100,7050.4707
101,5686.8013
102,6282.7476
103,6837.9336
104,6416.0273
105,7401.306
106,5722.524
107,4181.845
108,7034.041
109,7964.2256
110,7984.244
111,8382.361
112,7482.301
113,5515.777
114,8731.011
115,5823.861
116,7115.2236
117,8794.328
118,6056.1743
119,10103.609
120,7273.1777
121,7570.7715
122,5934.2104
123,7109.5723
124,7979.539
125,6540.795
126,3807.023
127,5332.354
128,7605.41
129,5336.8623
130,4428.4067
131,8138.951
132,6625.6133
133,5490.7275
134,6136.769
135,5288.9624
136,7280.9375
137,7071.2607
138,7020.207
139,5646.539
140,4933.9507
141,6117.063
142,3746.623
143,5911.0317
144,5407.7627
145,8241.621
146,7273.323
147,6060.7744
148,12255.231
149,4990.713
150,5330.4727
151,10204.114
152,6739.9175
153,8498.194
154,7358.993
155,5839.2407
156,6201.892
157,5443.129
158,8365.245
159,11218.996
160,6115.3013
161,3305.8337
162,4518.4146
163,9097.968
164,8748.982
165,6000.835
166,6870.832
167,4935.518
168,5405.318
169,3385.3315
170,5120.021
171,6242.3438
172,7330.733
173,6994.408
174,8298.437
175,7691.7847
176,9259.757
177,7596.5435
178,4785.554
179,9012.465
180,10042.967
181,5858.611
182,7390.266
183,5530.0215
184,6334.4175
185,4120.175
186,6821.407
187,5288.1504
188,8948.371
189,7187.032
190,8132.9995
191,7557.482
192,5650.4614
193,8309.834
194,18340.758
195,10106.598
196,5689.2485
197,2899.6182
198,5981.052
199,8141.6997
200,5574.6406
201,12590.362
202,18576.14
203,4142.8555
204,5256.603
205,8967.21
206,4784.2397
207,8331.961
208,6771.6597
209,7348.5776
210,5007.1304
211,6155.329
212,5478.3135
213,7325.6865
214,9297.927
215,6175.1997
216,5937.953
217,7160.4224
218,5053.847
219,5039.776
220,7462.487
221,5691.0396
222,5447.9336
223,7145.188
224,6218.632
225,5870.3633
226,7119.31
227,7100.749
228,8224.973
229,7041.203
230,7731.68
