id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
12514288909832263338,0,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,5edd240f,17ab225b,cf19f7f7,0,0,21296,300,50,2446,3,171,100228,156
12545901493362340698,0,14102100,1002,0,5b787406,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,d76404f5,d2516010,5464db8a,0,0,21694,320,50,2497,3,43,100151,42
12902656048366267075,1,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,016084ef,5415cf97,cf19f7f7,0,0,21300,320,50,2446,3,171,100228,156
13566817102326706390,0,14102100,1002,0,4fa4c1bc,948e3594,50e219e0,ecad2386,7801e8d9,07d7df22,6e42e3be,a78e6bba,911a3c09,0,0,6397,320,50,549,3,39,-1,23
14138327411216303543,0,14102100,1002,0,d1a51189,659ee94c,50e219e0,ecad2386,7801e8d9,07d7df22,287569cd,26139282,9ad67133,0,0,15542,320,50,1698,3,35,-1,111
15301641307291381115,0,14102100,1002,0,d1a51189,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,145058ab,25b19adc,c978d6f5,0,0,19665,320,50,2253,2,303,-1,52
1543214314151684632,0,14102100,1002,0,2c4ed2f7,08facbad,50e219e0,ecad2386,7801e8d9,07d7df22,07d405bc,d4c93627,9e52bf79,0,0,19665,320,50,2253,2,303,-1,52
15913591772017427406,1,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,a87c01b2,aef00903,cf19f7f7,0,0,21660,320,50,2446,3,171,100228,156
16418285396936627813,0,14102100,1002,0,e7eebe29,2ec180e5,50e219e0,ecad2386,7801e8d9,07d7df22,15f09677,d8b6aec0,ec731f46,0,0,21633,216,36,2483,3,33,100217,42
17124698763605629188,1,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,db3c2171,82cb1919,cf19f7f7,0,0,21660,320,50,2446,3,171,100228,156
17286224371536923539,0,14102100,1002,0,61a8c644,948ff336,50e219e0,ecad2386,7801e8d9,07d7df22,1bd37ca3,a7f3ffed,f7e89191,0,0,19665,320,50,2253,2,303,-1,52
18055258456112438998,0,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,58537ccf,5768083e,cf19f7f7,0,0,21660,320,50,2446,3,171,100228,156
2302775515750074221,0,14102100,1002,0,d1a51189,93ab6716,50e219e0,ecad2386,7801e8d9,07d7df22,f06ea396,45acb84b,be8e9571,0,0,19665,320,50,2253,2,303,-1,52
3327214209532777823,1,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,94d1e2b3,7ef2a826,cf19f7f7,0,0,21660,320,50,2446,3,171,100228,156
3867179514272081415,0,14102100,1002,0,9e8e8d09,16a36ef3,50e219e0,ecad2386,7801e8d9,07d7df22,b17bb930,5a822a26,a12e847c,0,0,17081,320,50,1921,3,47,-1,23
6779357244582164195,1,14102100,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,c357dbff,832b03dd,373ecbe6,0,0,21684,320,50,2496,3,167,100191,23
6977362510739109690,0,14102100,1002,0,38c202aa,81dc8532,50e219e0,ecad2386,7801e8d9,07d7df22,aeb159ac,b897515a,72dab84d,0,0,21681,320,50,2496,3,167,100191,23
8106191512512384749,0,14102100,1002,0,8f4a7b0c,46f58745,50e219e0,ecad2386,7801e8d9,07d7df22,b7cccce7,e478b9c3,4042e175,0,0,16920,320,50,1899,0,431,100074,117
9035323362377483630,0,14102100,1002,0,8f85b7f5,44307f64,50e219e0,ecad2386,7801e8d9,07d7df22,96619499,2880a039,911a3c09,0,0,16920,320,50,1899,0,431,100077,117
