id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
1000009418151094273,0,14102100,0,a99f214a,ddd2926e,44956a24,1,2,1005,15706,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,493,2,2,,2,
10068650175042846380,0,14102100,0,a99f214a,27f51eb7,d787e91b,1,0,1005,20362,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,112577,3,3,3,,3,
1031007386620751722,0,14102100,0,a99f214a,9d2dd736,5096d134,1,0,1005,15699,320,50,1722,0,35,100084,79,1fbe01fe,f3845767,28905ebd,112577,3,2,2,,1,
10673946650412952670,0,14102100,0,a99f214a,0489ce3f,3bd9e8e7,1,0,1005,15707,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,472,25,1,,1,0000
11072159711516437910,0,14102100,0,a99f214a,6b9769f2,3bd9e8e7,1,0,1005,15701,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,1271,25,1,,1,1010
11297580778684728005,0,14102100,0,a99f214a,488a9a3e,8a4875bd,1,0,1005,15699,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,473,59,1,,1,0000
11358824295199476924,0,14102100,0,a99f214a,57bce7c6,d787e91b,1,0,1005,20366,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,112577,6,6,2,,2,00
1141966688256812714,0,14102100,0,a99f214a,d0aa00c7,d787e91b,1,0,1005,20366,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,112577,2,2,2,,1,
11908963709416704136,0,14102100,0,a99f214a,6b9769f2,2203a096,1,0,1005,15703,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,1271,22,1,,1,0001
12074412297310181102,0,14102100,1,a99f214a,2bb4af67,3bb1ddd7,1,0,1005,9478,320,50,906,3,1451,100156,61,0a742914,510bd839,f028772b,112577,90,46,1,,1,0000
12243004418985231433,1,14102100,0,a99f214a,6b9769f2,8a4875bd,1,0,1005,15706,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,1271,262,3,,1,1100
12800771870890451225,0,14102100,1,a99f214a,08502ed6,900981af,1,2,1005,18993,320,50,2161,0,35,-1,157,e7777bfa,9fb0b77c,3e814130,112577,3,3,2,,1,0
13073140374187830764,0,14102100,0,a99f214a,57cd4006,3bd9e8e7,1,0,1005,15702,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,491,20,1,,1,0000
13306712872462884438,0,14102100,0,a99f214a,a6df415d,8a4875bd,1,0,1005,15708,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,113,25,2,,1,0000
13945964184864050714,0,14102100,0,a99f214a,e431a9ea,d787e91b,1,0,1005,20352,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,112577,5,5,1,,1,000
14076459410512601408,0,14102100,0,a99f214a,0f58c6ee,8a4875bd,1,0,1005,15699,320,50,1722,0,35,100084,79,1fbe01fe,f3845767,28905ebd,112577,25,2,1,,1,0
14370735266544970498,1,14102100,0,a99f214a,6769bdb2,d787e91b,1,0,1005,20362,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,112577,2,2,2,,1,
14810675462567775417,0,14102100,1,a99f214a,08502ed6,900981af,1,2,1005,18993,320,50,2161,0,35,-1,157,6bdcda77,b0a0505f,72722551,112577,3,3,2,,1,0
14883103985342877262,1,14102100,0,a99f214a,31375b2e,1aa0e912,1,0,1005,15704,320,50,1722,0,35,-1,79,1fbe01fe,f3845767,28905ebd,112577,6,2,1,,1,0
